Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Crystal Gayle	Talking In Your Sleep				keine	1	2026-07-14T04:09:26.000Z	keine lokale Zuordnung gefunden
Dagmar	Das imponiert mir nicht (Das interessiert mich nicht)				keine	1	2026-07-14T04:52:50.000Z	keine lokale Zuordnung gefunden
Dagmar	Du machst mich fix und fertig				keine	2	2026-07-15T05:09:02.000Z	keine lokale Zuordnung gefunden
Dagmar	Es wird Zeit dass ich geh' (Walking away)				keine	3	2026-07-15T11:19:47.000Z	keine lokale Zuordnung gefunden
Dagmar	Mädchen müssen manchmal mogeln				keine	2	2026-07-15T08:41:04.000Z	keine lokale Zuordnung gefunden
Dagmar	One way ticket nach New Orleans				keine	1	2026-07-15T15:48:18.000Z	keine lokale Zuordnung gefunden
Dagmar	Spring in das Licht				keine	2	2026-07-14T19:32:33.000Z	keine lokale Zuordnung gefunden
Dalton Dover	Going up on that				keine	2	2026-07-15T15:54:20.000Z	keine lokale Zuordnung gefunden
Dan & Shay	You				keine	2	2026-07-14T21:54:45.000Z	keine lokale Zuordnung gefunden
Dave Dudley	Six Days on the Road				keine	2	2026-07-14T22:13:34.000Z	keine lokale Zuordnung gefunden
David McWilliams	The Days Of Pearly Spencer				keine	1	2026-07-14T06:11:46.000Z	keine lokale Zuordnung gefunden
Dean Brody	Drink Around				keine	4	2026-07-15T09:12:05.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Gold				keine	1	2026-07-14T11:18:55.000Z	keine lokale Zuordnung gefunden
Dillon Carmichael	Drinkin' problems				keine	2	2026-07-14T22:18:54.000Z	keine lokale Zuordnung gefunden
Dolly Parton	9 To 5				keine	1	2026-07-15T00:18:35.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Jolene				keine	3	2026-07-15T10:18:33.000Z	keine lokale Zuordnung gefunden
Dolly Parton	Pure and Simple				keine	1	2026-07-14T02:27:13.000Z	keine lokale Zuordnung gefunden
Don McLean	American pie				keine	1	2026-07-14T21:06:43.000Z	keine lokale Zuordnung gefunden
Don Williams	Listen To The Radio				keine	1	2026-07-15T06:26:10.000Z	keine lokale Zuordnung gefunden
Dr. Hook	Better love next time				keine	2	2026-07-15T04:34:06.000Z	keine lokale Zuordnung gefunden
Dr. Hook	In over my head				keine	1	2026-07-14T19:17:28.000Z	keine lokale Zuordnung gefunden
Dr. Hook	Sharing The Night Together				keine	1	2026-07-14T07:47:08.000Z	keine lokale Zuordnung gefunden
Dr. Hook	When you're in love with a beautiful woman				keine	1	2026-07-15T12:27:50.000Z	keine lokale Zuordnung gefunden
Drake Milligan	How Much Beer				keine	4	2026-07-15T16:19:10.000Z	keine lokale Zuordnung gefunden
Drake Milligan	Tumbleweed				keine	4	2026-07-15T08:58:15.000Z	keine lokale Zuordnung gefunden
Dustin Lynch	Stars like confetti				keine	1	2026-07-15T06:36:40.000Z	keine lokale Zuordnung gefunden
Dylan Scott	Can't have mine (Find you a girl)				keine	1	2026-07-14T15:37:52.000Z	keine lokale Zuordnung gefunden
Eagles	Hotel California				keine	1	2026-07-14T17:50:01.000Z	keine lokale Zuordnung gefunden
Eagles	Lyin' Eyes				keine	1	2026-07-14T01:18:28.000Z	keine lokale Zuordnung gefunden
Eagles	New Kid In Town				keine	1	2026-07-14T09:34:30.000Z	keine lokale Zuordnung gefunden
Eagles	One Of These Nights				keine	1	2026-07-15T10:24:14.000Z	keine lokale Zuordnung gefunden
Eagles	Peaceful, Easy Feeling				keine	1	2026-07-15T01:56:09.000Z	keine lokale Zuordnung gefunden
Eddie Rabbitt	Rocky Mountain Music				keine	1	2026-07-14T18:10:01.000Z	keine lokale Zuordnung gefunden
Ella Langley	Choosin’ Texas				keine	4	2026-07-15T07:26:08.000Z	keine lokale Zuordnung gefunden
Ellen Grey	Himmel und Sterne				keine	1	2026-07-15T00:21:08.000Z	keine lokale Zuordnung gefunden
Elvie Shane	Love Cold Beer Cheap Smoke				keine	1	2026-07-14T12:58:25.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	(You never can tell) c'est la vie				keine	2	2026-07-15T11:50:51.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	If I could only win your love				keine	1	2026-07-13T22:58:43.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	One of these days				keine	1	2026-07-15T00:15:14.000Z	keine lokale Zuordnung gefunden
