Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Brandy Clark	Since Youve Gone To Heaven (Acoustic)				keine	1	2026-07-13T18:09:20.000Z	keine lokale Zuordnung gefunden
Brandy Clark	Take a Little Pill				keine	2	2026-07-15T08:06:34.000Z	keine lokale Zuordnung gefunden
Brantley Gilbert	Bottoms Up				keine	1	2026-07-14T02:39:13.000Z	keine lokale Zuordnung gefunden
Brantley Gilbert	Country Must Be Country Wide				keine	1	2026-07-15T09:17:24.000Z	keine lokale Zuordnung gefunden
Brantley Gilbert feat. Jamey Johnson & Alison Krauss	Fire & Brimstone				keine	1	2026-07-14T21:36:41.000Z	keine lokale Zuordnung gefunden
Brett Kissel	Why Won´t You				keine	2	2026-07-15T14:18:02.000Z	keine lokale Zuordnung gefunden
Brett Young	Mercy				keine	1	2026-07-15T00:20:27.000Z	keine lokale Zuordnung gefunden
Brian Burns	The Haunted Jukebox				keine	1	2026-07-15T12:22:08.000Z	keine lokale Zuordnung gefunden
Brian Burns	Thunderstorms & Tyler Roses				keine	1	2026-07-13T21:32:08.000Z	keine lokale Zuordnung gefunden
Brian Burns	Walker Behind The Wheel				keine	1	2026-07-14T10:36:31.000Z	keine lokale Zuordnung gefunden
Brison Reed	16 Lines Of Truth				keine	1	2026-07-15T13:31:24.000Z	keine lokale Zuordnung gefunden
Brooks & Dunn	A Few Good Rides Away				keine	1	2026-07-15T01:59:42.000Z	keine lokale Zuordnung gefunden
Brooks & Dunn	Ain't Nothing 'Bout You				keine	1	2026-07-14T11:42:59.000Z	keine lokale Zuordnung gefunden
Brooks & Dunn	Building Bridges				keine	1	2026-07-15T16:09:49.000Z	keine lokale Zuordnung gefunden
Brooks & Dunn feat. Luke Combs	Brand New Man				keine	1	2026-07-15T05:16:37.000Z	keine lokale Zuordnung gefunden
Brothers Osborne	Down Home				keine	1	2026-07-14T15:01:06.000Z	keine lokale Zuordnung gefunden
Brothers Osborne	Heart Shaped Locket				keine	1	2026-07-15T04:27:02.000Z	keine lokale Zuordnung gefunden
