Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Colosseum	The Valentyne Suite - Theme One - January's Search				keine	1	2026-07-14T04:13:11.000Z	keine lokale Zuordnung gefunden
Counting Crows	Up All Night (Frankie Miller Goes to Hollywood)				keine	1	2026-07-15T01:40:19.000Z	keine lokale Zuordnung gefunden
Cream	White Room				keine	1	2026-07-14T16:45:12.000Z	keine lokale Zuordnung gefunden
Curtis Mayfield	People Get Ready				keine	1	2026-07-14T12:05:15.000Z	keine lokale Zuordnung gefunden
Curtis Stigers & The Forest Rangers	This Life (Theme from Sons of Anarchy)				keine	1	2026-07-13T18:28:59.000Z	keine lokale Zuordnung gefunden
Daniel Boone	Beautiful Sunday		Black Coffee | Electric Slide	Black Coffee | Electric Slide	hoch	1	2026-07-14T06:32:21.000Z	exakter Interpret-und-Titel-Abgleich
Darryl Hall & John Oates	Maneater				keine	1	2026-07-14T08:28:27.000Z	keine lokale Zuordnung gefunden
Dave Davies	Death Of A Clown				keine	1	2026-07-14T04:56:39.000Z	keine lokale Zuordnung gefunden
Dave Dudley	Cowboy Boots				keine	1	2026-07-13T18:51:28.000Z	keine lokale Zuordnung gefunden
David Bowie	China Girl				keine	1	2026-07-14T09:21:16.000Z	keine lokale Zuordnung gefunden
David Bowie	Let's Dance				keine	1	2026-07-15T07:34:48.000Z	keine lokale Zuordnung gefunden
David Bowie	Ziggy Stardust				keine	1	2026-07-15T08:37:11.000Z	keine lokale Zuordnung gefunden
David Gilmour	On an Island				keine	1	2026-07-15T11:33:16.000Z	keine lokale Zuordnung gefunden
David Gilmour	Wish You Were Here				keine	1	2026-07-15T12:27:24.000Z	keine lokale Zuordnung gefunden
David Gilmour 002	Red Sky at Night				keine	2	2026-07-15T01:20:51.000Z	keine lokale Zuordnung gefunden
David Sanborn 001	Naked Moon				keine	1	2026-07-13T21:25:54.000Z	keine lokale Zuordnung gefunden
Deep Purple	Anyones Daughter				keine	1	2026-07-14T13:29:46.000Z	keine lokale Zuordnung gefunden
Deep Purple	Black Night				keine	1	2026-07-15T01:31:40.000Z	keine lokale Zuordnung gefunden
Deep Purple	Black Night Live (Made in Japan)				keine	1	2026-07-14T22:53:07.000Z	keine lokale Zuordnung gefunden
Deep Purple	Burn				keine	1	2026-07-14T15:26:12.000Z	keine lokale Zuordnung gefunden
