Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Chase Rice	Ready Set Roll				keine	2	2026-07-15T01:19:56.000Z	keine lokale Zuordnung gefunden
Chase Rice	Whisper				keine	2	2026-07-15T04:47:45.000Z	keine lokale Zuordnung gefunden
Chris Cagle	What A Beautiful Day				keine	1	2026-07-14T16:36:03.000Z	keine lokale Zuordnung gefunden
Chris Janson	Buy Me A Boat		Holly's Church | Like a fine wine	Holly's Church | Like a fine wine	hoch	1	2026-07-14T03:05:19.000Z	exakter Interpret-und-Titel-Abgleich
Chris Janson	Drunk Girl				keine	1	2026-07-14T20:10:04.000Z	keine lokale Zuordnung gefunden
Chris Stapleton	Parachute				keine	1	2026-07-14T07:42:22.000Z	keine lokale Zuordnung gefunden
Chris Stapleton	Traveller				keine	1	2026-07-15T15:50:40.000Z	keine lokale Zuordnung gefunden
Chris Young	Aw Naw				keine	1	2026-07-13T22:33:37.000Z	keine lokale Zuordnung gefunden
Chris Young	Hangin On				keine	1	2026-07-14T08:03:25.000Z	keine lokale Zuordnung gefunden
Chris Young	Im Coming Over				keine	1	2026-07-15T10:21:07.000Z	keine lokale Zuordnung gefunden
Chris Young	Lonely Eyes				keine	1	2026-07-15T00:29:39.000Z	keine lokale Zuordnung gefunden
Chris Young	Neon				keine	1	2026-07-14T16:53:41.000Z	keine lokale Zuordnung gefunden
Chris Young	Who I Am With You				keine	2	2026-07-14T02:12:26.000Z	keine lokale Zuordnung gefunden
Chris Young feat. Vince Gill	Sober Saturday Night				keine	1	2026-07-14T04:40:57.000Z	keine lokale Zuordnung gefunden
Clay Walker	Like We Never Said Goodbye				keine	2	2026-07-15T02:46:24.000Z	keine lokale Zuordnung gefunden
Clint Black	Nothing but the Taillights				keine	3	2026-07-15T12:59:52.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Aint Worth the Whiskey				keine	2	2026-07-15T10:45:34.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Break Up In The End				keine	1	2026-07-13T20:45:39.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Hope You Get Lonely Tonight				keine	1	2026-07-15T04:31:22.000Z	keine lokale Zuordnung gefunden
Cole Swindell	Middle Of A Memory				keine	3	2026-07-15T14:01:02.000Z	keine lokale Zuordnung gefunden
Cole Swindell	You Should Be Here				keine	1	2026-07-14T03:50:28.000Z	keine lokale Zuordnung gefunden
Conway Twitty Loretta Lynne	Louisiana Woman, Mississippi Man				keine	2	2026-07-15T03:46:45.000Z	keine lokale Zuordnung gefunden
